partner_id,partner_name,vehicle_type,experience_years,rating
52,Avi Balan,Bike,7,4.4
53,Gaurika Sachdeva,Scooter,3,3.6
54,Joshua Viswanathan,Bike,7,3.6
55,Yash Purohit,Cycle,10,4.2
56,Urmi Tank,Bike,1,3.8
57,Bhanumati Dar,Cycle,5,5.0
58,Aarush Kala,Scooter,2,4.0
59,Jhalak Pal,Scooter,8,4.2
60,Dalbir Bose,Cycle,5,3.6
61,Ekavir Dasgupta,Cycle,7,3.8
62,Ikbal Zacharia,Scooter,6,3.8
63,Upkaar Kashyap,Bike,5,4.2
64,Vansha Oza,Scooter,4,4.8
65,Liam Reddy,Cycle,1,3.7
66,Onkar Dugar,Cycle,2,3.6
67,Yashasvi Divan,Scooter,9,4.1
68,Wriddhish Seth,Cycle,4,4.3
69,Gautami Nazareth,Scooter,9,4.1
70,Faraj Chanda,Cycle,8,4.4
71,Balhaar Menon,Bike,8,3.9
72,Zinal Wason,Scooter,1,4.3
73,Brijesh Peri,Cycle,10,4.5
74,Geetika Khanna,Cycle,3,3.7
75,Megha Sangha,Scooter,3,4.9
76,Chakradhar Venkataraman,Bike,4,4.7
77,Jackson Dave,Bike,1,4.1
78,Andrew Basak,Cycle,7,3.8
79,Christopher Venkatesh,Cycle,3,4.8
80,Jalsa Ramakrishnan,Scooter,6,4.9
81,Gaurang Bala,Bike,2,4.1
82,Mitesh Shah,Scooter,9,4.0
83,Ekani Kala,Scooter,9,4.2
84,Parth Kamdar,Bike,10,4.4
85,Harini Parekh,Scooter,2,4.1
86,Qushi Upadhyay,Bike,10,4.4
87,Rajata Chopra,Bike,2,4.3
88,Vedhika Samra,Bike,5,4.8
89,Shivansh Vohra,Scooter,7,3.9
90,Bina Baria,Cycle,8,4.4
91,Wyatt Modi,Scooter,1,3.8
92,Sara Hari,Scooter,3,4.4
93,Chanchal Khanna,Cycle,7,3.6
94,Laban Reddy,Scooter,4,3.6
95,Simon Kaur,Scooter,5,4.8
96,Jeet Bera,Bike,6,4.7
97,Kamala Seth,Scooter,5,3.9
98,Champak Tripathi,Scooter,2,5.0
99,Dhruv Mann,Bike,3,4.0
100,Qabil Babu,Cycle,8,4.7
101,Aadhya Gandhi,Scooter,5,4.6
102,Osha Prashad,Cycle,2,3.8
103,Tanmayi Chakraborty,Bike,7,4.6
104,Maanav Wason,Cycle,6,4.7
105,Leena Kothari,Cycle,3,3.6
106,Ganga Chauhan,Cycle,9,4.1
107,Ansh Tella,Cycle,10,3.5
108,Robert Gill,Bike,4,4.8
109,Hritik Goyal,Bike,1,4.2
110,Chaitaly Dhaliwal,Scooter,4,3.9
111,Netra Bhakta,Scooter,9,4.1
112,Arin Solanki,Bike,1,3.9
113,Mitali Dalal,Scooter,10,4.2
114,Omisha Balasubramanian,Scooter,10,4.3
115,Owen Kalita,Scooter,3,4.8
116,Vedant Venkatesh,Scooter,2,3.9
117,Eshana Pathak,Scooter,1,3.7
118,Zinal Devi,Cycle,4,4.8
119,Bhavani Aggarwal,Cycle,4,4.5
120,Nikita Dalal,Scooter,7,4.3
121,Radha Om,Cycle,1,4.2
122,Manan Ravi,Bike,3,4.4
123,Manan Saraf,Bike,4,3.9
124,Girik Raja,Scooter,5,4.1
125,Hemangini Ray,Scooter,6,4.2
126,Tarak Aurora,Bike,8,4.0
127,Pooja Chaudhari,Cycle,10,4.1
128,Ranveer Wadhwa,Bike,1,4.3
129,Gayathri Dara,Cycle,6,4.3
130,Rehaan Loke,Cycle,10,3.9
131,Manthan Khosla,Cycle,2,4.2
132,Yashodhara Magar,Scooter,5,4.5
133,Ayushman Gala,Scooter,5,4.5
134,Udarsh Agarwal,Cycle,5,3.8
135,Yoshita Saraf,Cycle,4,4.8
136,Lopa Bhatnagar,Cycle,7,4.5
137,Jackson Ram,Cycle,3,4.6
138,Falan Bumb,Cycle,8,5.0
139,Gaurika Bal,Scooter,7,4.1
140,Dominic Prashad,Cycle,1,4.4
141,Arya Buch,Cycle,4,4.0
142,Elijah Nagy,Cycle,4,4.5
143,Sudiksha Reddy,Cycle,8,4.9
144,Rohan Savant,Cycle,6,4.3
145,Maanas Bedi,Bike,9,3.8
146,Thomas Mammen,Bike,8,3.7
147,Anay Tandon,Scooter,9,4.6
148,Saanvi Manda,Bike,6,4.5
149,Nicholas Bhardwaj,Bike,6,3.8
150,Logan Rau,Scooter,7,4.7
151,Kalpit Devan,Scooter,6,3.9
152,Anirudh Chanda,Scooter,8,4.8
153,Urvi Rajagopalan,Scooter,1,4.8
154,Naveen Bhavsar,Cycle,10,4.9
155,Arin Ranganathan,Bike,8,4.8
156,Ekalinga Hayer,Cycle,2,4.8
157,Samaksh Setty,Scooter,9,3.9
158,Gaurav Deo,Bike,3,3.7
159,Ishita Garg,Bike,6,4.1
160,Hemani Rattan,Cycle,8,3.7
161,Unni Buch,Cycle,3,4.7
162,Advaith Jayaraman,Scooter,6,4.4
163,Harsh Brar,Bike,6,4.5
164,Aadi Raghavan,Bike,8,3.9
165,Theodore Sami,Bike,10,4.6
166,Yochana Nadkarni,Scooter,2,3.7
167,Unni Tandon,Scooter,7,4.1
168,Krisha Dara,Scooter,7,3.5
169,Tejas Sem,Cycle,4,4.6
170,Chaman Mohanty,Bike,6,4.6
171,Chandran Ganguly,Cycle,4,3.5
172,Champak Dhaliwal,Bike,4,3.8
173,Chaitaly Uppal,Scooter,5,3.7
174,Girindra Sankar,Scooter,9,4.4
175,Bhavani Bera,Bike,2,4.7
176,Siya Jayaraman,Scooter,5,4.2
177,Harsh Rao,Cycle,10,4.3
178,Hritik Dhar,Scooter,3,4.0
179,Xalak Varghese,Scooter,6,4.6
180,Rachit Borde,Bike,7,3.5
181,Neel Chanda,Bike,3,3.8
182,Qabil Chaudry,Bike,10,4.3
183,Advika Venkataraman,Bike,6,4.6
184,Onveer Oak,Bike,7,4.8
185,Raksha Kaur,Scooter,9,4.4
186,Vincent Zacharia,Cycle,1,4.5
187,Ishwar Varma,Cycle,1,3.6
188,Eiravati Rege,Bike,7,4.2
189,Hamsini Karnik,Bike,9,3.9
190,Arin Tailor,Cycle,3,3.8
191,Neha Dani,Cycle,1,4.0
192,Vanya Bhat,Cycle,2,4.5
193,Watika Keer,Scooter,10,4.4
194,Zarna Din,Bike,7,4.7
195,Janya Agate,Bike,9,4.6
196,Maanas Chad,Bike,5,3.7
197,Pranit Kapur,Bike,8,3.8
198,Falak Dutta,Bike,5,4.7
199,Maya Pau,Bike,6,4.6
200,Gautami Zacharia,Scooter,3,3.6
201,Henry Lanka,Scooter,4,4.5
202,Mason Bora,Scooter,6,3.9
203,Elijah Dewan,Bike,2,4.9
204,Mitali Shan,Cycle,8,3.7
205,Amrita Keer,Bike,9,3.6
206,Bhavya Babu,Cycle,2,4.9
207,Jonathan Barad,Cycle,4,4.2
208,Bahadurjit Karpe,Scooter,5,4.2
209,Zashil Tripathi,Bike,3,4.8
210,Kalpit Misra,Scooter,6,4.7
211,Yauvani Bhatti,Scooter,7,4.6
212,Bhanumati Palan,Bike,1,3.5
213,Yashica Shankar,Bike,3,4.0
214,Ridhi Chand,Scooter,10,3.9
215,Praneel Keer,Cycle,2,4.1
216,Sara Ramakrishnan,Scooter,3,3.7
217,Rohan Zacharia,Scooter,8,3.9
218,Atharv Seth,Scooter,8,4.7
219,Lajita Brahmbhatt,Cycle,3,3.7
220,Triya Talwar,Cycle,1,5.0
221,Leena Doctor,Bike,2,4.1
222,Yashasvi Tank,Cycle,8,4.7
223,Kai Nagarajan,Cycle,8,3.8
224,Wakeeta Barad,Scooter,6,4.4
225,Aadi Rastogi,Cycle,3,4.2
226,Wazir Pillay,Scooter,2,4.8
227,Amruta Balan,Scooter,1,3.6
228,Madhavi Raj,Cycle,6,3.5
229,Tanmayi Barad,Cycle,9,4.7
230,Jeet Ganesh,Cycle,10,3.8
231,Patrick Oommen,Cycle,6,4.3
232,Amrita Krishnamurthy,Cycle,10,3.6
233,Maya Sharma,Cycle,4,4.2
234,Rohan Dey,Cycle,7,3.7
235,Chaitaly Grewal,Cycle,10,3.6
236,Kiaan Walia,Cycle,3,4.3
237,Mahika Kapadia,Scooter,8,4.8
238,Harshil Oak,Bike,8,4.0
239,Nitesh Lad,Scooter,5,3.6
240,Falak Grover,Bike,9,4.5
241,Vasudha Gokhale,Scooter,4,3.6
242,Lopa Ganesh,Scooter,10,4.2
243,Netra Kant,Scooter,8,4.0
244,Hemal Wagle,Scooter,1,3.7
245,Harsh Kapoor,Scooter,1,4.3
246,Mahika Pingle,Bike,2,4.7
247,Atharv Suri,Cycle,5,4.8
248,Libni Nair,Cycle,4,4.5
249,Ekani Sura,Scooter,6,4.0
250,Advika Kapur,Bike,4,4.8
